,ECCN Code,Description
1698,5A002,"Information security systems, equipment, and components"
1703,2A994,Portable electric generators and specially designed parts and components
1704,5D002,Software as follows
1712,0A606,Ground vehicles and related commodities
1714,9B610,"Test, inspection, and production equipment"
1722,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A610"
1731,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A001"
1732,3B001,Equipment for the manufacturing of semiconductor devices or materials
1734,3A991,Electronic devices and components not controlled by 3A001
1742,1C351,Human and animal pathogens and toxins
1743,1C107,Graphite and Ceramic Materials
1750,9A991,"""Aircraft"", n.e.s., and gas turbine engines not controlled by 9A001 or"
1752,9A515,"""Spacecraft"" and related commodities"
1753,5D002,"""Software"""
1760,3B991,Equipment not controlled by 3B001
1761,3A991,Electronic devices
1762,3A999,Specific Processing Equipment
1763,6A998,Radar systems
1764,4A994,Computers
1768,7A103,"Instrumentation, navigation equipment and systems, other than those co"
1769,0A606,"Ground vehicles and related commodities, as follows (see List of Items"
1771,3A611,"Military electronics, as follows (see List of Items Controlled)"
1773,9A619,Military gas turbine engines and related commodities (see List of Item
1774,7A003,"'Inertial Measurement Equipment or Systems', Having any of the Followi"
1775,9A604,"Commodities related to launch vehicles, missiles, and rockets"
1782,9A515,"""Spacecraft"" and related commodities, as follows (see List of Items Co"
1783,0A614,"Military training ""equipment"", as follows (see List of Items Controlle"
1784,6A003,"Cameras, Systems or Equipment, and ""Components"" Therefor, as Follows"
1791,3B991,"Equipment not controlled by 3B001 for the manufacture of electronic ""p"
1793,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items C"
1794,3A991,"Electronic devices, and ""components"" not controlled by 3A001"
1795,4A994,"Computers, ""electronic assemblies"" and related equipment not controlle"
1800,3A001,Electronic items as follows
1804,1C006,Fluids and lubricating materials
1810,5B002,"Digital computers, electronic assemblies, and related equipment"
1819,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A203"
1821,6A993,"Cameras, not controlled by 6A003 or 6A203"
1822,3A999,Specific processing equipment
1824,1C990,Fibrous and filamentary materials
1827,9A515,"Spacecraft and related commodities, as follows (see List of Items Controlled)"
1828,3A001,Electronic items as follows (see List of Items Controlled).
1830,9A619,Military gas turbine engines and related commodities (see List of Items Controlled)
1831,3A233,"Mass spectrometers, capable of measuring ions of 230 atomic mass units"
1839,5B002,"Information Security test, inspection and production equipment, as follows"
1840,7A103,"Instrumentation, navigation equipment and systems, other than those controlled"
1841,5D002,Software as follows (see List of Items Controlled).
1844,1C006,"Fluids and lubricating materials, as follows (see List of Items Controlled)"
1846,5A991,"Telecommunication equipment, not controlled by 5A001 (see List of Items Controlled)"
1848,3A992,General purpose electronic equipment not controlled by 3A002.
1849,4A994,"Computers, electronic assemblies and related equipment not controlled"
1850,3A999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1852,3A991,"Electronic devices, and components not controlled by 3A001."
1853,2B999,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1859,5A002,"""Information security"" systems, equipment and ""components,"" as follows"
1860,1A007,"Equipment and devices, specially designed to initiate charges and de"
1861,1C350,Chemicals that may be used as precursors for toxic chemical agents (se
1863,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows ("
1864,0A982,"Law enforcement restraint devices, including leg irons, shackles, and"
1868,5D002,"""Software"" as follows (see List of Items Controlled)."
1869,1C006,"Fluids and lubricating materials, as follows (see List of Items Contro"
1874,7B611,"Test, inspection, and production commodities specially designed for"
1880,1C992,"Commercial charges and devices containing energetic materials, n.e.s."
1881,1C355,Chemical Weapons Convention (CWC) Schedule 2 and 3 chemicals and famil
1891,2B230,All types of pressure transducers
1905,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001"
1908,3B991,Equipment not controlled by 3B001 for the manufacture of electronic
1911,3B992,Equipment not controlled by 3B002 for the inspection or testing of ele
1920,9A515,Spacecraft and related commodities
1932,1C001,Materials specially designed for absorbing electromagnetic radiation
1936,3B991,Equipment not controlled by 3B001 for the manufacture of electronic printed circuit boards
1942,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic components
1944,4A994,"Computers, electronic assemblies, and related equipment not controlled by 4A001"
1946,0A606,"Ground vehicles and related commodities, as follows (see List of Items Controlled)"
1949,7A003,"Inertial Measurement Equipment or Systems, Having any of the Following"
1950,1C351,"Human and animal pathogens and toxins, as follows (see List of Items Controlled)"
1951,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows (see List of Items Controlled)"
1961,0A614,"Military training equipment, as follows (see List of Items Controlled)"
1964,8A609,Surface vessels of war and related commodities (see List of Items Controlled)
1966,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A619"
1969,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic assemblies
1970,3B001,"Equipment for the manufacturing of semiconductor devices or materials, n.e.s."
1971,4A994,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
1972,3A999,"Computers, electronic assemblies and related equipment not controlled by 3A002"
1974,2A291,"Electronic devices, and components not controlled by 3A001"
1975,2B230,"All types of ""pressure transducers"" capable of measuring absolute pres"
1983,1A985,Optical sighting devices for firearms (including shotguns controlled b
1984,0A504,"Fingerprinting powders, dyes, and inks"
1987,3A002,"General purpose ""electronic assemblies,"" modules and equipment, as fol"
1989,5B002,"""Information Security"" test, inspection and ""production"" equipment, as"
1990,9A604,"Commodities related to launch vehicles, missiles, and rockets (see Lis"
1991,3B001,"Equipment for the manufacturing of semiconductor devices or materials,"
1993,2B998,"Assemblies, circuit boards or inserts ""specially designed"" for machine"
2001,3A991,"Electronic devices, and ""components"" not controlled by 3A001."
2007,0B501,"Test, inspection, and production equipment"
2012,3A981,Polygraphs
2020,9B001,"Manufacturing Equipment, tooling or Fixtures"
2025,4A994,"Computers, electronic assemblies and related equipment"
2026,9A991,"Aircraft, n.e.s., and gas turbine engines"
2028,5A992,Equipment
2029,9A990,"Diesel engines, n.e.s., and tractors"
2032,1C992,Commercial charges and devices
2036,1C111,"Propellants and constituent chemicals for propellants, other than thos"
2038,9B610,"Test, inspection, and production ""equipment"" and related commodities"
2042,7A611,"Military fire control, laser, imaging, and guidance equipment, as foll"
2044,0A614,"Military training ""equipment,"" as follows (see List of Items Controlle"
2046,5A002,"""Information security"" systems, equipment and ""components"", as follows"
2066,0A502,Shotguns; shotguns parts and components
2071,3A981,Polygraphs (except biomedical recorders)
2082,6A004,Optical equipment and components
2085,9A990,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A002"
2090,4A994,"Diesel engines, n.e.s., and tractors and specially designed parts"
2091,8A992,Portable electric generators and specially designed parts and components
2093,3A992,"Computers, electronic assemblies and related equipment not controlled by 3A002"
2094,6A998,"Radar systems, equipment and major components, n.e.s., and specially designed parts"
2095,9A610,"Military aircraft and related commodities, other than those enumerated"
2103,6A003,Neutron generator systems
2104,6A003,"Cameras, systems or equipment"
2109,1A004,Protective and detection equipment and components
2114,7A003,Inertial measurement equipment or systems
2121,1A999,Specific processing equipment
2123,9A610,Military aircraft and related commodities
2124,1C992,Commercial charges and devices containing energetic materials
2132,7A002,"Gyros or Angular Rate Sensors, Having any of the Following, and ""Speci"
2134,1C230,"Beryllium metal, alloys containing more than 50% beryllium by weight,"
2143,6A005,"""Lasers,"" ""components"" and optical equipment, as follows (see List of"
2144,1C008,Non-fluorinated polymeric substances as follows (see List of Items Con
2158,9E610,"Technology required for the development, production, operation, maintenance, or use of military items"
2169,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A110"
2179,4A994,"Computers, electronic assemblies and related equipment not controlled by 5A001"
2183,3A991,"Electronic devices, and components"
2185,2B230,All types of pressure transducers capable of measuring absolute pres
2194,0A614,"Military training equipment, as follows (see List of Items Controlle"
2205,3B991,Equipment not controlled by 3B001 for the manufacture of electronic p
2233,9B610,"Test, inspection, and production equipment and related commodities "
2242,1A995,Protective and detection equipment not specially designed for milita
2243,5D992,Information Security software not controlled by 5D002 as follows (
2252,0B505,"Test, inspection, and production equipment"
2253,6A005,"""Lasers"""
2258,2B991,Numerical control units for machine tools
2259,EAR99,Items subject to the EAR
2263,9A991,"""Aircraft"""
2264,5B002,"""Information security"""
2282,7A103,"Instrumentation, navigation equipment and systems, other than those"
2293,7A611,"Military fire control, laser, imaging, and guidance equipment, as follows"
2299,4A994,"Computers, ""electronic assemblies"" and related equipment not controlled"
2301,2B999,"Specific Processing Equipment, n.e.s., as Follows"
2303,1A995,"Protective and detection equipment not ""specially designed"" for milita"
2305,2D002,"Software for electronic devices, even when residing in an electronic device"
2308,1B118,Continuous mixers having all of the following
2309,2B001,"Machine tools and any combination thereof, for removing or cutting material"
2314,5A001,"Telecommunications systems, equipment, components and accessories"
2316,2A001,"Anti-friction bearings, bearing systems and components"
2323,1C999,Specific materials
2324,5D992,Information security software not controlled by 5D002
2325,1C991,"Vaccines, immunotoxins, medical products, diagnostic and food testing"
2334,2B230,Ground vehicles and related commodities
2360,2B350,"Chemical manufacturing facilities and equipment, except valves controlled by 2B350"
2363,3A981,Polygraphs (except biomedical recorders designed for use in medical facilities)
2382,4A994,"Computers, electronic assemblies and related equipment not controlled by 1A003"
2383,1A995,"Diesel engines, n.e.s., and tractors and specially designed parts"
2384,3A991,Protective and detection equipment not specially designed for military applications
2385,3A992,"Electronic devices, and components not controlled by 3A001"
2386,6A993,General purpose electronic equipment not controlled by 3A002
2390,1A007,"Equipment and devices, “specially designed” to initiate charges and de"
2392,1A004,"Protective and Detection Equipment and “Components,” Not “Specially De"
2393,3A231,"Neutron generator systems, including tubes, having both of the charact"
2394,5A002,"“Information security” systems, equipment and “components,” as follows"
2396,1A607,"Military dissemination “equipment” for riot control agents, military d"
2398,7E101,"“Technology,” according to the General Technology Note for the “use” o"
2402,9A991,"“Aircraft,” n.e.s., and gas turbine engines not controlled by 9A001 or"
2403,3A002,"General purpose “electronic assemblies,” modules and equipment, as fol"
2405,3B611,"Test, inspection, and production commodities for military electronics,"
2410,4A994,"Computers, “electronic assemblies” and related equipment not controlle"
2421,0A978,"Law enforcement striking weapons, including saps, police batons, side handles, and similar items"
2422,2B350,"Chemical manufacturing facilities and equipment, except valves control units"
2424,1A613,"Armored and protective equipment and related commodities, as follows"
2428,1A006,"Equipment, specially designed or modified for the disposal of Improvised Explosive Devices"
2431,5D992,Information Security software not controlled by 5D002 as follows
2446,4A994,"Computers, electronic assemblies, and related equipment not controlled by 3A001"
2475,9A990,Military gas turbine engines and related commodities
2480,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A991"
2482,1A999,"Electronic devices, and components not controlled by 3A001"
2484,7E994,"Technology, n.e.s., for the development, production, or use of commodities controlled by 3A, 3B, or 3C"
2506,1A004,Protective and Detection Equipment
2508,9A619,Submersible Vehicles and Surface Vessels
2522,0A502,"Shotguns; shotguns parts and components, consisting of complete tr"
2527,1C353,"Genetic elements and genetically modified organisms, as follows (see L"
2545,9E991,"Technology, for the development, production or use of equipmen"
2548,9A515,"Armored and protective equipment and related commodities, as follows"
2550,7A994,"Other navigation direction finding equipment, airborne communication"
2555,2B352,Equipment Capable of Use in Handling Biological Materials
2568,3A002,General purpose electronic equipment not controlled by 3A002
2582,0A501,Firearms (except 0A502 shotguns) and related commodities as follows (see List of Items Controlled)
2587,6A003,"Cameras, Systems or Equipment, and Components Therefor, as Follows (see List of Items Controlled)"
2592,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 5A001 or 5A002"
2593,7A994,"Other navigation direction finding equipment, airborne communication equipment, and related commodities (see List of Items Controlled)"
2598,6A001,"Acoustic systems, equipment and components, as follows (see List of Items Controlled)"
2603,4A994,"Computers, electronic assemblies and related equipment not controlled by 4A003 or 4A004"
2604,2B999,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
2605,8A992,"Specific Processing Equipment, n.e.s., as Follows (See List of Items Controlled)"
2606,4A003,Protective and detection equipment not specially designed for military applications
2608,1C992,"Commercial charges and devices containing energetic materials, n.e.s"
2618,1A613,Armored and protective equipment
2636,6A998,"Radar systems, equipment and major components"
2637,4A994,"Computers, electronic assemblies and related equipment not controlled by 3A001"
2648,7A002,Gyros or Angular Rate Sensors
2668,3B992,Equipment not controlled by 3B002 for the inspection or testing of electronic products
2673,6A003,All types of pressure transducers capable of measuring absolute pressure
2674,9A515,"Spacecraft and related commodities, as follows"
2686,5B002,"Software, as follows"
2687,9B610,"Information Security test, inspection and production equipment, as follows"
2688,2B001,"Test, inspection, and production equipment and related commodities"
2695,3A999,"Specific Processing Equipment, n.e.s., as Follows"
2707,3A231,Neutron generator systems
2708,1A007,Equipment and devices
2716,1C006,Military gas turbine engines and related commodities
2717,9A619,Optical sighting devices for firearms
2718,0A504,Fluids and lubricating materials
2725,3A999,Chemical Weapons Convention (CWC) Schedule 2 and 3 chemicals and famil
2726,4A994,"Specific Processing Equipment, n.e.s."
2727,1A995,"Computers, electronic assemblies"
2752,5A991,Equipment not controlled by 5A001
2754,3B992,Equipment not controlled by 3B002
2756,4A994,"Computers, electronic assemblies and related equipment not controlled by 3A002"
2776,6A003,"Cameras, Systems or Equipment, and Components"
2783,7A994,Specific Processing Equipment
2785,3A999,"Other navigation direction finding equipment, airborne communication equipment"
2796,7A003,Inertial Measurement Equipment or Systems
2828,3A002,"General purpose electronic assemblies, modules and equipment"
2851,0B501,"Test, inspection, and production equipment and related commodities f"
2855,3A981,Polygraphs (except biomedical recorders designed for use in medical fa
2858,9A515,"Spacecraft and related commodities, as follows (see List of Items Co"
2863,9B001,"Manufacturing Equipment, tooling or Fixtures, as Follows (See List of)"
2881,1C111,Propellants and constituent chemicals for propellants
2883,3A611,Military gas turbine engines and related commodities
2886,9A012,Military electronics
2887,9E991,"Technology for the development, production or use of equipment"
2895,1A613,Armored and protective equipment and related commodities
2896,9A619,Military electronics
2897,9A991,Aircraft and gas turbine engines not controlled by 9A001 or 9A002
2902,5A991,Telecommunication equipment not controlled by 5A001
2908,3A999,Equipment not controlled by 3B002
2912,9B619,"Test, inspection, and production equipment and related commodities"
2918,9B604,"Test, inspection, and production equipment and related commodities"
2934,1A999,"Specific Processing Equipment, n.e.s."
2936,0A617,"Miscellaneous Equipment, Materials, and Related Commodities"
2938,1A995,Protective and detection equipment not specially designed for military applications
2940,0A504,Optical sighting devices for firearms (including shotguns controlled by)
2944,0A978,"Law enforcement striking weapons, including saps, police batons, side handles, and"
2945,2B350,"Chemical manufacturing facilities and equipment, except valves controlled by"
2946,6A993,"Cameras, not controlled by 6A003 or 6A203, as follows (see List of Items Controlled)"
2947,0A502,"Shotguns; shotguns parts and components, consisting of complete trigger assemblies"
2953,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by"
2956,6A001,"Acoustic systems, equipment and components"
2976,2A983,"Explosives or detonator detection equipment, both bulk and trace based"
2977,1C230,"Beryllium metal, alloys containing more than 50% beryllium by weight"
2985,9A991,"Aircraft, n.e.s., and gas turbine engines not controlled by 9A001 or 9A103"
2987,6A005,"Lasers, components and optical equipment, as follows (see List of Items Controlled)"
2996,7A994,"Other navigation direction finding equipment, airborne communication equipment, and related equipment not controlled by 3A002"
2997,4A994,"Computers, electronic assemblies, and related equipment not controlled by 3A002"
3002,9E610,"Technology required for the development, production, operation,"
3017,5D002,"Software, as follows"
3029,2B230,"All types of ""pressure transducers"" capable of measuring absolute pressure"
3045,3C004,"Hydrides of phosphorus, arsenic or antimony"
3046,4A003,"Digital computers, electronic assemblies, and related equipment"
3048,9A991,"""Aircraft"", n.e.s., and gas turbine engines not controlled by 9A001 or 9A101"
3049,3B991,"Equipment not controlled by 3B001 for the manufacture of electronic ""printed circuit boards"""
3057,2A999,Specific Processing Equipment
3062,9A604,"Commodities related to launch vehicles, missiles, and rockets (see List of Items Controlled)"
3066,7A003,"'Inertial Measurement Equipment or Systems', Having any of the Following"
3071,0A502,"Shotguns; shotguns parts"" and ""components,"" consisting of complete trigger assemblies"
3074,7A103,"Instrumentation, navigation equipment and systems, other than those controlled by 7A004"
3076,2B201,"Machine tools, and any combination thereof, other than those controlled by 2B001"
3080,7A994,"Other navigation direction finding equipment, airborne communication equipment, and components therefor"
3085,4A994,"Computers, ""electronic assemblies"" and related equipment not controlled by 3A002"
3087,8A992,General purpose electronic equipment not controlled by 3A002
3088,9A610,"Vessels, marine systems or equipment, not controlled by 8A001 or 8A002"
3091,1A613,"Armored and protective ""equipment"" and related commodities, as follows"
3093,1A004,"Protective and Detection Equipment and ""Components"", Not ""Specially De"
3094,1A005,"Body armor and “specially designed"" ""components"" therefor, as follows"
3096,0A502,"Shotguns; shotguns ""parts"" and ""components,"" consisting of complete tr"
3098,1A607,"Military dissemination ""equipment"" for riot control agents, military d"
3105,1A006,"Equipment, ""specially designed"" or modified for the disposal of Improv"
3108,9A012,"Non-military ""Unmanned Aerial Vehicles,"" (“UAVs”), unmanned ""airships"""
3145,1C202,Alloys other than those controlled by 1C002.b.3 or 1C002.b.4
3146,4A994,"Computers, electronic assemblies and related equipment not controlled by 3B001"
3147,3B991,Equipment not controlled by 3B001 for the manufacture of electronic parts
3178,3A999,"Specific Processing Equipment, n.e.s"
